id,username,day,time,course,venue,academicyear,division,is_rescheduled
432,amitnehete,Wednesday,13:30 - 14:30,SmartGridSystem,DR-405,LY,EACE-SECA,f
433,amitnehete,Wednesday,10:45 - 12:45 ,SmartGridSystem-G2,DR-405,LY,EACE-SECA,f
434,dhanshreeghate,Monday,08:30 - 09:30,Managing Conflicts Peacefully (MCP),KS-406,TY,ECE-SECA,f
435,vibhapatel,Monday,09:30 - 10:30,Electromagnetics and Radiating Systems (ERS),KS-406,TY,ECE-SECA,f
436,manishakumawat,Monday,09:30 - 10:30,Artificial Neural Network (ANN),KS-407,TY,ECE-SECA,f
437,savitrijadhav,Monday,09:30 - 10:30,Embedded System & RTOS (ES&RTOS),JN-106,TY,ECE-SECA,f
438,anjaliaskhedkar,Monday,10:45 - 11:45,Digital Communication (DC),KS-406,TY,ECE-SECA,f
439,rupalikute,Monday,11:45 - 12:45,Digital Signal Processing (DSP),KS-406,TY,ECE-SECA,f
440,rupalikute,Monday,13:30 - 15:30,Digital Signal Processing (DSP Practical)-G1,VK-207,TY,ECE-SECA,f
441,anjaliaskhedkar,Monday,13:30 - 15:30,Digital Communication (DC Practical)-G2,VK-306,TY,ECE-SECA,f
442,ujjawalarawandale,Monday,13:30 - 15:30,Simulation Lab (SL Practical)-G3,JN-110A,TY,ECE-SECA,f
443,rupalikute,Tuesday,10:45 - 11:45,Digital Signal Processing (DSP),KS-406,TY,ECE-SECA,f
444,anjaliaskhedkar,Tuesday,11:45 - 12:45,Digital Communication (DC),KS-406,TY,ECE-SECA,f
445,savitrijadhav,Tuesday,11:45 - 12:45,Embedded System & RTOS (ES&RTOS),VK-411B,TY,ECE-SECA,f
446,manishakumawat,Tuesday,11:45 - 12:45,Artificial Neural Network (ANN),VK-411C,TY,ECE-SECA,f
447,vibhapatel,Tuesday,13:30 - 15:30,Electromagnetics and Radiating Systems (ERS)-G1,KS-406,TY,ECE-SECA,f
448,manishakumawat,Tuesday,13:30 - 15:30,Artificial Neural Network (ANN)-G1,KS-407,TY,ECE-SECA,f
449,savitrijadhav,Tuesday,13:30 - 15:30,Embedded System & RTOS (ES&RTOS)-G1,JN-107,TY,ECE-SECA,f
450,savitrijadhav,Wednesday,08:30 - 10:30,Embedded System & RTOS (ES&RTOS)-G3,KS-406,TY,ECE-SECA,f
451,anjaliaskhedkar,Wednesday,10:45 - 11:45,Digital Communication (DC),KS-406,TY,ECE-SECA,f
452,rupalikute,Wednesday,13:30 - 15:30,Digital Signal Processing (DSP)-G3,VK-207,TY,ECE-SECA,f
453,anjaliaskhedkar,Wednesday,13:30 - 15:30,Digital Communication (DC)-G1,VK-306,TY,ECE-SECA,f
454,sunitakulkarni,Wednesday,13:30 - 15:30,Simulation Lab (SL Practical)-G2,JN-110A,TY,ECE-SECA,f
455,amolsajjan,Wednesday,15:30 - 16:30,Employment Skill Development (ESD),KS-406,TY,ECE-SECA,f
456,rupalikute,Thursday,10:45 - 12:45,Digital Signal Processing (DSP)-G2,VK-207,TY,ECE-SECA,f
457,anjaliaskhedkar,Thursday,10:45 - 12:45,Digital Communication (DC)-G3,VK-207,TY,ECE-SECA,f
458,arunmali,Thursday,10:45 - 12:45,Project Based Learning (PBL)-G1,VK-306,TY,ECE-SECA,f
459,savitrijadhav,Thursday,13:30 - 15:30,Embedded System & RTOS (ES&RTOS)-G2,VK-411B,TY,ECE-SECA,f
460,manishakumawat,Thursday,13:30 - 15:30,Artificial Neural Network (ANN)-G2,JN-110A,TY,ECE-SECA,f
461,dhanshreeghate,Friday,08:30 - 09:30,Managing Conflicts Peacefully (MCP),KS-406,TY,ECE-SECA,f
462,vibhapatel,Friday,09:30 - 10:30,ERS,KS-406,TY,ECE-SECA,f
463,manishakumawat,Friday,09:30 - 10:30,ANN,KS-407,TY,ECE-SECA,f
464,savitrijadhav,Friday,09:30 - 10:30,ES&RTOS,JN-106,TY,ECE-SECA,f
465,vinodkumarjadhav,Friday,10:45 - 11:45,Simulation Lab (SL Practical)-G1,JN-110A,TY,ECE-SECA,f
466,rupalikute,Friday,10:45 - 12:45,Project Based Learning (PBL)-G2,KS-403,TY,ECE-SECA,f
467,rupalikute,Friday,11:45 - 12:45,Project Based Learning (PBL)-G3,VK-411A,TY,ECE-SECA,f
