id,username,day,time,course,venue,academicyear,division,is_rescheduled
107,poojagundewar,Tuesday,10:45 - 11:45,Signals and Systems (SS),DR-406,SY,ECEAIML-SECB,f
108,arpitadeodikar,Tuesday,11:45 - 12:45,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECB,f
109,arpitadeodikar,Wednesday,08:30 - 09:30,Calculus and Statistical Methods (CSM),DR-405,SY,ECEAIML-SECB,f
110,nathraojadhav,Wednesday,09:30 - 10:30,Digital Electronics (DE),DR-405,SY,ECEAIML-SECB,f
111,mrunalannadate,Wednesday,10:45 - 12:45,Project Based Learning (PBL)-G2,VK-301,SY,ECEAIML-SECB,f
112,nathraojadhav,Wednesday,10:45 - 12:45,Digital Electronics (DE)-G3,JN-305,SY,ECEAIML-SECB,f
113,nathraojadhav,Thursday,09:30 - 10:30,Digital Electronics (DE),DR-406,SY,ECEAIML-SECB,f
114,poojagundewar,Thursday,10:45 - 11:45,Signals and Systems (SS),DR-406,SY,ECEAIML-SECB,f
115,arpitadeodikar,Thursday,11:45 - 12:45,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECB,f
116,anjaliaskhedkar,Thursday,13:30 - 15:30,Project Based Learning (PBL)-G1,KS- 404 ,SY,ECEAIML-SECB,f
117,amolsajjan,Thursday,14:30 - 15:30,ESD,DR-406,SY,ECEAIML-SECB,f
118,poojagundewar,Friday,09:30 - 10:30,Signals and Systems - Tu-rial,DR-406,SY,ECEAIML-SECB,f
119,arpitadeodikar,Friday,10:45 - 11:45,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECB,f
120,amolsajjan,Friday,11:45 - 12:45,ESD,DR-406,SY,ECEAIML-SECB,f
121,shatakshibhamre,Friday,13:30 - 14:30,Spiritual and Cultural Heritage,DR-406,SY,ECEAIML-SECB,f
122,shatakshibhamre,Friday,14:30 - 15:30,Spiritual and Cultural Heritage,DR-406,SY,ECEAIML-SECB,f
123,chetankhadse,Monday,08:30 - 09:30,Signals and Systems (SS),DR-405,SY,ECEAIML-SECC,f
124,mrunalannadate,Monday,09:30 - 10:30,Digital Electronics (DE),DR-405,SY,ECEAIML-SECC,f
125,mrunalannadate,Monday,10:45 - 12:45,Digital Electronics (DE)-G3,JN-305,SY,ECEAIML-SECC,f
126,anilhiwale,Monday,10:45 - 12:45,Project Based Learning (PBL)-G2,VK-411D,SY,ECEAIML-SECC,f
127,pratibhakshirsagar,Monday,13:30 - 14:30,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECC,f
128,chetankhadse,Tuesday,09:30 - 10:30,Signals and Systems (SS),DR-405,SY,ECEAIML-SECC,f
129,mrunalannadate,Tuesday,10:45 - 12:45,Digital Electronics (DE)-G1,JN-305,SY,ECEAIML-SECC,f
130,sunilsomani,Tuesday,10:45 - 12:45,Project Based Learning (PBL)-G3,VK-411D,SY,ECEAIML-SECC,f
131,chetankhadse,Tuesday,13:30 - 14:30,Signals and Systems (SS) - Tu-rial,DR-406,SY,ECEAIML-SECC,f
132,pratibhakshirsagar,Wednesday,08:30 - 09:30,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECC,f
133,mrunalannadate,Wednesday,09:30 - 10:30,Digital Electronics (DE),DR-406,SY,ECEAIML-SECC,f
134,chetankhadse,Wednesday,10:45 - 11:45,Signals and Systems (SS),DR-406,SY,ECEAIML-SECC,f
135,pratibhakshirsagar,Wednesday,11:45 - 12:45,CSM (Theory),DR-406,SY,ECEAIML-SECC,f
136,amolsajjan,Wednesday,13:30 - 14:30,ESD,DR-406,SY,ECEAIML-SECC,f
137,amolsajjan,Wednesday,14:30 - 15:30,ESD,DR-406,SY,ECEAIML-SECC,f
138,mrunalannadate,Thursday,08:30 - 10:30,Digital Electronics (DE) - G2,JN-305,SY,ECEAIML-SECC,f
139,anilhiwale,Thursday,08:30 - 10:30,Project Based Learning (PBL)-G1,VK-301,SY,ECEAIML-SECC,f
140,mrunalannadate,Thursday,10:45 - 11:45,Digital Electronics (DE),DR-405,SY,ECEAIML-SECC,f
141,pratibhakshirsagar,Thursday,11:45 - 12:45,Calculus and Statistical Methods (CSM),DR-405,SY,ECEAIML-SECC,f
142,rajeevjoshi,Thursday,13:30 - 14:30,Spiritual and Cultural Heritage,DR-406,SY,ECEAIML-SECC,f
143,rajeevjoshi,Thursday,14:30 - 15:30,Spiritual and Cultural Heritage,DR-406,SY,ECEAIML-SECC,f
144,amolsajjan,Monday,08:30 - 09:30,ESD,DR-406,SY,ECEAIML-SECD,f
145,amolsajjan,Monday,09:30 - 10:30,ESD,DR-406,SY,ECEAIML-SECD,f
146,vanitatank,Monday,10:45 - 11:45,Signals and Systems (SS),DR-406,SY,ECEAIML-SECD,f
147,pratibhakshirsagar,Monday,11:45 - 12:45,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECD,f
148,anilhiwale,Monday,13:30 - 14:30,Digital Electronics (DE),DR-406,SY,ECEAIML-SECD,f
149,vanitatank,Tuesday,09:30 - 10:30,Signals and Systems (SS),DR-406,SY,ECEAIML-SECD,f
150,anilhiwale,Tuesday,10:45 - 12:45,Digital Electronics (DE) - G1,VK-302,SY,ECEAIML-SECD,f
151,sanjaykumarkinge,Tuesday,10:45 - 12:45,Project Based Learning (PBL)-G3,VK-301,SY,ECEAIML-SECD,f
152,pratibhakshirsagar,Tuesday,13:30 - 14:30,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECD,f
153,anilhiwale,Wednesday,09:30 - 10:30,PBL-I Practical Practice,KS- 404 ,SY,ECEAIML-SECD,f
154,vanitatank,Wednesday,10:45 - 11:45,Digital Electronics (DE),DR-406,SY,ECEAIML-SECD,f
155,pratibhakshirsagar,Wednesday,11:45 - 12:45,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECD,f
156,anilhiwale,Wednesday,13:30 - 15:30,Digital Electronics (DE)-G2,JN-305,SY,ECEAIML-SECD,f
157,mrunalannadate,Wednesday,13:30 - 15:30,Project Based Learning (PBL)-G1,VK-301,SY,ECEAIML-SECD,f
158,pratibhakshirsagar,Thursday,09:30 - 10:30,Calculus and Statistical Methods (CSM),DR-406,SY,ECEAIML-SECD,f
159,anilhiwale,Thursday,10:45 - 11:45,Digital Electronics (DE),DR-406,SY,ECEAIML-SECD,f
160,vanitatank,Thursday,11:45 - 12:45,Signals and Systems (SS) - Tu-rial,DR-406,SY,ECEAIML-SECD,f
161,vanitatank,Friday,09:30 - 10:30,Signals and Systems (SS),DR-406,SY,ECEAIML-SECD,f
162,anilhiwale,Friday,10:45 - 12:45,Digital Electronics (DE)-G3,JN-305,SY,ECEAIML-SECD,f
163,anjaliaskhedkar,Friday,10:45 - 12:45,Project Based Learning (PBL)-G2,VK-411D,SY,ECEAIML-SECD,f
164,rajeevjoshi,Friday,13:30 - 14:30,Spiritual and Cultural Heritage,DR-406,SY,ECEAIML-SECD,f
165,rajeevjoshi,Friday,14:30 - 15:30,Spiritual and Cultural Heritage,DR-406,SY,ECEAIML-SECD,f
166,anaghadeshpande,Monday,10:45 - 11:45,Digital Electronics (DE),DR-406,SY,ECE-SECA,f
167,anaghadeshpande,Monday,11:45 - 12:45,Signals and Systems (SS),DR-406,SY,ECE-SECA,f
168,anaghadeshpande,Monday,13:30 - 15:30,Digital Electronics (DE)-G1,VK-302,SY,ECE-SECA,f
169,priyamvadamahajani,Monday,13:30 - 15:30,Project Based Learning (PBL)-G3,VK-301,SY,ECE-SECA,f
170,priyamvadamahajani,Tuesday,09:30 - 10:30,Signals and Systems (SS),VK-407,SY,ECE-SECA,f
171,shrutimishra,Tuesday,10:45 - 11:45,Calculus and Statistical Methods (CSM),VK-407,SY,ECE-SECA,f
172,anaghadeshpande,Tuesday,11:45 - 12:45,Digital Electronics (DE),VK-407,SY,ECE-SECA,f
173,amolsajjan,Tuesday,13:30 - 14:30,Embedded Systems Design (ESD),DR-405,SY,ECE-SECA,f
174,amolsajjan,Tuesday,14:30 - 15:30,Embedded Systems Design (ESD),DR-405,SY,ECE-SECA,f
175,priyamvadamahajani,Wednesday,09:30 - 10:30,Signals and Systems (SS),VK-407,SY,ECE-SECA,f
176,anaghadeshpande,Wednesday,10:45 - 12:45,Digital Electronics (DE)-G2,VK-302,SY,ECE-SECA,f
177,sanjaykumarkinge,Wednesday,10:45 - 12:45,Project Based Learning (PBL)-G1,VK-301,SY,ECE-SECA,f
178,shrutimishra,Wednesday,13:30 - 14:30,Calculus and Statistical Methods (CSM),VK-407,SY,ECE-SECA,f
179,anaghadeshpande,Thursday,10:45 - 12:45,Digital Electronics (DE)-G3,VK-302,SY,ECE-SECA,f
180,sanjaykumarkinge,Thursday,10:45 - 12:45,Project Based Learning (PBL)-G2,VK-301,SY,ECE-SECA,f
181,anaghadeshpande,Thursday,13:30 - 14:30,Digital Electronics (DE),VK-407,SY,ECE-SECA,f
182,priyamvadamahajani,Thursday,14:30 - 15:30,Signals and Systems - Tu-rial,VK-407,SY,ECE-SECA,f
183,shrutimishra,Friday,10:45 - 11:45,Calculus and Statistical Methods (CSM),VK-407,SY,ECE-SECA,f
184,shrutimishra,Friday,11:45 - 12:45,Calculus and Statistical Methods (CSM)-Tu-rial,VK-407,SY,ECE-SECA,f
185,rashmiumale,Friday,13:30 - 14:30,Digital Electronics (DE),VK-303,SY,ECE-SECB,f
186,rashmiumale,Friday,14:30 - 15:30,Spiritual and Cultural Heritage,DR-405,SY,ECE-SECB,f
187,rajkumarkomati,Monday,10:45 - 11:45,Digital Electronics (DE),DR-405,SY,ECE-SECB,f
188,rakhikhedkar,Monday,11:45 - 12:45,Signals and Systems (SS),VK-303,SY,ECE-SECB,f
189,rakhikhedkar,Monday,13:30 - 14:30,Signals and Systems (SS)-Tu-rial,VK-303,SY,ECE-SECB,f
190,amolsajjan,Monday,14:30 - 15:30,ESD,KS-406,SY,ECE-SECB,f
191,rakhikhedkar,Tuesday,09:30 - 10:30,Signals and Systems (SS),VK-303,SY,ECE-SECB,f
192,arpitadeodikar,Tuesday,10:45 - 11:45,Calculus and Statistical Methods (CSM),VK-303,SY,ECE-SECB,f
193,arpitadeodikar,Tuesday,11:45 - 12:45,Calculus and Statistical Methods (CSM)-Tu-rial,VK-303,SY,ECE-SECB,f
194,rajkumarkomati,Tuesday,13:30 - 15:30,Digital Electronics (DE)-G1,VK-302,SY,ECE-SECB,f
195,anjaliaskhedkar,Tuesday,13:30 - 15:30,Project Based Learning (PBL)-G3,VK-301,SY,ECE-SECB,f
196,shatakshibhamre,Wednesday,08:30 - 09:30,Spiritual and Cultural Heritage (SCH),VK-303,SY,ECE-SECB,f
197,shatakshibhamre,Wednesday,09:30 - 10:30,Spiritual and Cultural Heritage (SCH),VK-303,SY,ECE-SECB,f
198,rajkumarkomati,Wednesday,10:45 - 11:45,Digital Electronics (DE),VK-303,SY,ECE-SECB,f
199,rajkumarkomati,Wednesday,11:45 - 12:45,Digital Electronics (DE),VK-303,SY,ECE-SECB,f
200,rajkumarkomati,Wednesday,13:30 - 15:30,Digital Electronics (DE)-G2,VK-302,SY,ECE-SECB,f
201,deepanath,Wednesday,13:30 - 15:30,Project Based Learning (PBL)-G1,VK-301,SY,ECE-SECB,f
202,arpitadeodikar,Thursday,10:45 - 11:45,Calculus and Statistical Methods (CSM),VK-304,SY,ECE-SECB,f
203,rakhikhedkar,Thursday,11:45 - 12:45,Signals and Systems (SS),VK-304,SY,ECE-SECB,f
204,amolsajjan,Friday,10:45 - 11:45,ESD,VK-303,SY,ECE-SECB,f
205,arpitadeodikar,Friday,11:45 - 12:45,Calculus and Statistical Methods (CSM),VK-304,SY,ECE-SECB,f
206,rajkumarkomati,Friday,13:30 - 15:30,Project Based Learning (PBL)-G2,VK-301,SY,ECE-SECB,f
207,sunilsomani,Friday,13:30 - 15:30,Digital Electronics (DE)-G3,JN-305B,SY,ECE-SECB,f
208,amolsajjan,Monday,09:30 - 10:30,ESD,DR-405,SY,ECE-SECC,f
209,harshalizodpe,Monday,10:45 - 11:45,Digital Electronics (DE),VK-304,SY,ECE-SECC,f
210,shrutimishra,Monday,11:45 - 12:45,Calculus and Statistical Methods (CSM),VK-304,SY,ECE-SECC,f
211,harshalizodpe,Monday,13:30 - 15:30,Digital Electronics (DE)-G1,JN-305,SY,ECE-SECC,f
212,shrutidanve,Monday,13:30 - 15:30,Project Based Learning (PBL)-G3,VK-301,SY,ECE-SECC,f
213,harshalizodpe,Tuesday,10:45 - 11:45,Digital Electronics (DE),VK-304,SY,ECE-SECC,f
214,shrutimishra,Tuesday,11:45 - 12:45,Calculus and Statistical Methods (CSM),VK-304,SY,ECE-SECC,f
215,harshalizodpe,Tuesday,13:30 - 15:30,Digital Electronics (DE)-G3,JN-305,SY,ECE-SECC,f
216,deepanath,Tuesday,13:30 - 15:30,Project Based Learning (PBL)-G2,VK-301,SY,ECE-SECC,f
217,rakhikhedkar,Wednesday,09:30 - 10:30,Signals and Systems (SS),VK-303,SY,ECE-SECC,f
218,harshalizodpe,Wednesday,10:45 - 11:45,Digital Electronics (DE),VK-304,SY,ECE-SECC,f
219,amolsajjan,Wednesday,11:45 - 12:45,Employment Skill Development,VK-304,SY,ECE-SECC,f
220,rakhikhedkar,Thursday,09:30 - 10:30,Signals and Systems (SS),JN-305,SY,ECE-SECC,f
221,shrutimishra,Thursday,10:45 - 11:45,Calculus and Statistical Methods (CSM),VK-301,SY,ECE-SECC,f
222,shrutimishra,Thursday,11:45 - 12:45,Calculus and Statistical Methods (CSM),VK-304,SY,ECE-SECC,f
223,harshalizodpe,Thursday,13:30 - 15:30,Digital Electronics (DE),VK-304,SY,ECE-SECC,f
224,shrutidanve,Thursday,13:30 - 15:30,Project Based Learning (PBL)-G3,VK-304,SY,ECE-SECC,f
225,rakhikhedkar,Friday,09:30 - 10:30,Signals and Systems (SS),VK-303,SY,ECE-SECC,f
226,shatakshibhamre,Friday,10:45 - 11:45,Spiritual and Cultural Heritage (SCH),VK-304,SY,ECE-SECC,f
227,shatakshibhamre,Friday,11:45 - 12:45,Spiritual and Cultural Heritage (SCH),VK-304,SY,ECE-SECC,f
228,rakhikhedkar,Friday,13:30 - 14:30,Signals and Systems (SS),KS-406,SY,ECE-SECC,f
229,manishawani,Monday,08:30 - 09:30,Control Systems (CS),VK-303,SY,EACE-SECA,f
230,khushiracca,Monday,09:30 - 10:30,Calculus and Numerical Methods (CNM),VK-303,SY,EACE-SECA,f
231,rajeevjoshi,Monday,10:45 - 11:45,Spiritual and Cultural Heritage (SCH),VK-405,SY,EACE-SECA,f
232,rajeevjoshi,Monday,11:45 - 12:45,Spiritual and Cultural Heritage (SCH),VK-405,SY,EACE-SECA,f
233,amolsajjan,Monday,13:30 - 14:30,Employment Skill Development,VK-405,SY,EACE-SECA,f
234,amolsajjan,Monday,14:30 - 15:30,Employment Skill Development,VK-405,SY,EACE-SECA,f
235,sanjaykumarkinge,Tuesday,08:30 - 10:30,Project Based Learning (PBL)-G1,VK-302,SY,EACE-SECA,f
236,manishawani,Tuesday,08:30 - 10:30,Control Systems (CS)-G2,JN-110 ,SY,EACE-SECA,f
237,manishawani,Tuesday,10:45 - 11:45,Control Systems (CS),VK-405,SY,EACE-SECA,f
238,khushiracca,Tuesday,11:45 - 12:45,Calculus and Numerical Methods (CNM),VK-405,SY,EACE-SECA,f
239,sanjaykumarkinge,Wednesday,08:30 - 10:30,Project Based Learning (PBL)-G2,VK-302,SY,EACE-SECA,f
240,manishawani,Wednesday,08:30 - 10:30,Control Systems (CS)-G1,JN-110,SY,EACE-SECA,f
241,netralokhande,Wednesday,10:45 - 12:45,Electrical Machines (EM)-G1,JN-008,SY,EACE-SECA,f
242,netralokhande,Wednesday,13:30 - 14:30,Electrical Machines (EM),VK-304,SY,EACE-SECA,f
243,khushiracca,Thursday,08:30 - 09:30,CNM (T),VK-303,SY,EACE-SECA,f
244,netralokhande,Thursday,09:30 - 10:30,Electrical Machines (EM),VK-303,SY,EACE-SECA,f
245,netralokhande,Thursday,10:45 - 12:45,Electrical Machines (EM)-G2,JN-008,SY,EACE-SECA,f
246,netralokhande,Friday,09:30 - 10:30,Electrical Machines (EM),VK-405,SY,EACE-SECA,f
247,khushiracca,Friday,10:45 - 11:45,Calculus and Numerical Methods (CNM),VK-405,SY,EACE-SECA,f
248,shantaramdond,Monday,08:30 - 09:30,Electrical Machines (EM),VK-304,SY,EACE-SECB,f
249,shantaramdond,Monday,09:30 - 10:30,Electrical Machines (EM),VK-304,SY,EACE-SECB,f
250,shantaramdond,Monday,10:45 - 12:45,Electrical Machines (EM)-G1,JN-008,SY,EACE-SECB,f
251,gauravnarkhede,Monday,10:45 - 12:45,Control Systems (CS)-G2,JN-110,SY,EACE-SECB,f
252,gauravnarkhede,Tuesday,09:30 - 10:30,Control Systems (CS),VK-405,SY,EACE-SECB,f
253,shantaramdond,Tuesday,10:45 - 12:45,Electrical Machines (EM)-G2,JN-008,SY,EACE-SECB,f
254,rajeevjoshi,Tuesday,13:30 - 14:30,Spiritual and Cultural Heritage (SCH),KS-406,SY,EACE-SECB,f
255,rajeevjoshi,Tuesday,14:30 - 15:30,Spiritual and Cultural Heritage (SCH),KS-406,SY,EACE-SECB,f
256,manishawani,Wednesday,08:30 - 09:30,Control Systems (CS),VK-405,SY,EACE-SECB,f
257,khushiracca,Wednesday,09:30 - 10:30,Calculus and Numerical Methods (CNM),VK-405,SY,EACE-SECB,f
258,amolsajjan,Wednesday,10:45 - 12:45,Employment Skill Development,JN-006,SY,EACE-SECB,f
259,khushiracca,Wednesday,13:30 - 14:30,Calculus and Numerical Methods (CNM),VK-302,SY,EACE-SECB,f
260,sanjaykumarkinge,Thursday,08:30 - 10:30,Project Based Learning (PBL)-G1,VK-301,SY,EACE-SECB,f
261,netralokhande,Friday,08:30 - 09:30,Electrical Machines (EM),VK-405,SY,EACE-SECB,f
262,khushiracca,Friday,09:30 - 10:30,Calculus and Numerical Methods (CNM),VK-304,SY,EACE-SECB,f
263,sanjaykumarkinge,Friday,10:45 - 12:45,Project Based Learning (PBL)-G2,VK-302,SY,EACE-SECB,f
264,gauravnarkhede,Friday,10:45 - 12:45,Control Systems (CS)-G1,JN-008,SY,EACE-SECB,f
265,rakhikhedkar,Monday,08:30 - 10:30,Project Based Learning - III-G3,KS-405,TY,ECEAIML-SECA,f
266,anuradhaphadke,Monday,10:45 - 12:45,Artificial Intelligence & Machine Learning-G1,VK-411C,TY,ECEAIML-SECA,f
267,deepanath,Monday,10:45 - 12:45,Optimization Techniques-G2,JN-306B,TY,ECEAIML-SECA,f
268,vibhapatel,Monday,10:45 - 12:45,Database Management System-G3,JN-306A,TY,ECEAIML-SECA,f
269,anujaaskhedkar,Monday,13:30 - 15:30,VLSI Design-G1,VK-411A,TY,ECEAIML-SECA,f
270,poojagundewar,Monday,13:30 - 15:30,Mechatronics-G1,VK-206A,TY,ECEAIML-SECA,f
271,madhujagdish,Monday,11:45 - 12:45,Managing Conflicts Peacefully,KS-406,TY,ECEAIML-SECA,f
272,madhujagdish,Monday,13:30 - 14:30,Managing Conflicts Peacefully,KS-406,TY,ECEAIML-SECA,f
273,amolsajjan,Tuesday,08:30 - 09:30,Employment Skill Development,JN-106,TY,ECEAIML-SECA,f
274,sunitakulkarni,Tuesday,09:30 - 10:30,Digital Signal Processing,KS-406,TY,ECEAIML-SECA,f
275,anujaaskhedkar,Tuesday,09:30 - 10:30,VLSI Design,JN-106,TY,ECEAIML-SECA,f
276,poojagundewar,Tuesday,09:30 - 10:30,Mechatronics,JN-107,TY,ECEAIML-SECA,f
277,vinodkumarjadhav,Tuesday,09:30 - 10:30,Digital Communication,KS-407,TY,ECEAIML-SECA,f
278,deepanath,Tuesday,10:45 - 11:45,Optimization Techniques,JN-106,TY,ECEAIML-SECA,f
279,anuradhaphadke,Tuesday,11:45 - 12:45,Artificial Intelligence & ML,JN-106,TY,ECEAIML-SECA,f
280,sunitakulkarni,Tuesday,13:30 - 15:30,Digital Signal Processing-G2,VK-207,TY,ECEAIML-SECA,f
281,anujaaskhedkar,Tuesday,13:30 - 15:30,VLSI Design-G2,VK-411A,TY,ECEAIML-SECA,f
282,poojagundewar,Tuesday,13:30 - 15:30,Mechatronics-G2,VK-206A,TY,ECEAIML-SECA,f
283,vinodkumarjadhav,Tuesday,13:30 - 15:30,Digital Communication-G2,VK-306,TY,ECEAIML-SECA,f
284,sunitakulkarni,Wednesday,09:30 - 10:30,Digital Signal Processing,KS-406,TY,ECEAIML-SECA,f
285,anujaaskhedkar,Wednesday,09:30 - 10:30,VLSI Design,JN-106,TY,ECEAIML-SECA,f
286,poojagundewar,Wednesday,09:30 - 10:30,Mechatronics,JN-107,TY,ECEAIML-SECA,f
287,vinodkumarjadhav,Wednesday,09:30 - 10:30,Digital Communication,KS-407,TY,ECEAIML-SECA,f
288,anuradhaphadke,Wednesday,10:45 - 11:45,Artificial Intelligence & ML,JN-106,TY,ECEAIML-SECA,f
289,deepanath,Wednesday,11:45 - 12:45,Optimization Techniques,JN-106,TY,ECEAIML-SECA,f
290,anujaaskhedkar,Wednesday,13:30 - 15:30,VLSI Design-G3,VK-411A,TY,ECEAIML-SECA,f
291,sunitakulkarni,Thursday,09:30 - 10:30,Digital Signal Processing,KS-406,TY,ECEAIML-SECA,f
292,anujaaskhedkar,Thursday,09:30 - 10:30,VLSI Design,JN-106,TY,ECEAIML-SECA,f
293,poojagundewar,Thursday,09:30 - 10:30,Mechatronics,JN-107,TY,ECEAIML-SECA,f
294,vinodkumarjadhav,Thursday,09:30 - 10:30,Digital Communication,KS-407,TY,ECEAIML-SECA,f
295,anuradhaphadke,Thursday,10:45 - 12:45,Artificial Intelligence & ML-G3,VK-411C,TY,ECEAIML-SECA,f
296,deepanath,Thursday,10:45 - 12:45,Optimization Techniques-G1,JN-306B,TY,ECEAIML-SECA,f
297,vibhapatel,Thursday,10:45 - 12:45,Database Management System-G2,JN-306A,TY,ECEAIML-SECA,f
298,vibhapatel,Thursday,13:30 - 15:30,Database Management System-G1,JN-306A,TY,ECEAIML-SECA,f
299,anuradhaphadke,Thursday,13:30 - 15:30,Project Based Learning - III-G2,KS-405,TY,ECEAIML-SECA,f
300,anuradhaphadke,Friday,08:30 - 10:30,Artificial Intelligence & ML-G2,VK-411C,TY,ECEAIML-SECA,f
301,deepanath,Friday,08:30 - 10:30,Optimization Techniques-G3,JN-306B,TY,ECEAIML-SECA,f
302,gauravnarkhede,Friday,08:30 - 10:30,Project Based Learning - III-G1,VK-207,TY,ECEAIML-SECA,f
303,deepanath,Friday,10:45 - 11:45,Optimization Techniques,JN-106,TY,ECEAIML-SECA,f
304,anuradhaphadke,Friday,11:45 - 12:45,Artificial Intelligence & ML,JN-106,TY,ECEAIML-SECA,f
305,sunitakulkarni,Friday,13:30 - 15:30,Digital Signal Processing-G1,VK-207,TY,ECEAIML-SECA,f
306,vinodkumarjadhav,Friday,13:30 - 15:30,Digital Communication-G1,VK-306,TY,ECEAIML-SECA,f
307,amolsajjan,Friday,15:30 - 16:30,Employment Skill Development,KS-406,TY,ECEAIML-SECA,f
308,alkabarhatte,Monday,08:30 - 10:30,Project Based Learning - III - G2,KS-403,TY,ECEAIML-SECB,f
309,priyamvadamahajani,Monday,10:45 - 11:45,Optimization Techniques,JN-107,TY,ECEAIML-SECB,f
310,alkabarhatte,Monday,11:45 - 12:45,Artificial Intelligence & ML,JN-107,TY,ECEAIML-SECB,f
311,anujaaskhedkar,Monday,13:30 - 15:30,VLSI Design-G1,VK-411A,TY,ECEAIML-SECB,f
312,poojagundewar,Monday,13:30 - 15:30,Mechatronics-G1,VK-206A,TY,ECEAIML-SECB,f
313,vinodkumarjadhav,Monday,13:30 - 15:30,Digital Communication-G1,VK-306,TY,ECEAIML-SECB,f
314,amolsajjan,Monday,15:30 - 16:30,Employment Skill Development,JN-107,TY,ECEAIML-SECB,f
315,sunitakulkarni,Tuesday,09:30 - 10:30,Digital Signal Processing,KS-406,TY,ECEAIML-SECB,f
316,anujaaskhedkar,Tuesday,09:30 - 10:30,VLSI Design,JN-106,TY,ECEAIML-SECB,f
317,poojagundewar,Tuesday,09:30 - 10:30,Mechatronics,JN-107,TY,ECEAIML-SECB,f
318,vinodkumarjadhav,Tuesday,09:30 - 10:30,Digital Communication,KS-407,TY,ECEAIML-SECB,f
319,alkabarhatte,Tuesday,10:45 - 12:45,Artificial Intelligence & ML-G1,JN-106,TY,ECEAIML-SECB,f
320,priyamvadamahajani,Tuesday,10:45 - 12:45,Optimization Techniques-G2,JN-306A,TY,ECEAIML-SECB,f
321,anujaaskhedkar,Tuesday,13:30 - 15:30,VLSI Design-G2,VK-411A,TY,ECEAIML-SECB,f
322,poojagundewar,Tuesday,13:30 - 15:30,Mechatronics-G2,VK-206A,TY,ECEAIML-SECB,f
323,vinodkumarjadhav,Tuesday,13:30 - 15:30,Digital Communication-G2,VK-306,TY,ECEAIML-SECB,f
324,sunitakulkarni,Tuesday,13:30 - 15:30,Digital Signal Processing - G2,VK-207A,TY,ECEAIML-SECB,f
325,sunitakulkarni,Wednesday,09:30 - 10:30,Digital Signal Processing,KS-406,TY,ECEAIML-SECB,f
326,anujaaskhedkar,Wednesday,09:30 - 10:30,VLSI Design,JN-106,TY,ECEAIML-SECB,f
327,poojagundewar,Wednesday,09:30 - 10:30,Mechatronics,JN-107,TY,ECEAIML-SECB,f
328,vinodkumarjadhav,Wednesday,09:30 - 10:30,Digital Communication,KS-407,TY,ECEAIML-SECB,f
329,alkabarhatte,Wednesday,10:45 - 11:45,Artificial Intelligence & ML,JN-107,TY,ECEAIML-SECB,f
330,priyamvadamahajani,Wednesday,11:45 - 12:45,Optimization Techniques,JN-107,TY,ECEAIML-SECB,f
331,anujaaskhedkar,Wednesday,13:30 - 15:30,VLSI Design - G3,VK-411A,TY,ECEAIML-SECB,f
332,poojagundewar,Wednesday,13:30 - 15:30,Mechatronics - G3,VK-206A,TY,ECEAIML-SECB,f
333,amolsajjan,Wednesday,15:30 - 16:30,Embedded Systems Design (ESD),JN-107,TY,ECEAIML-SECB,f
334,sunitakulkarni,Thursday,09:30 - 10:30,Digital Signal Processing,KS-406,TY,ECEAIML-SECB,f
335,anujaaskhedkar,Thursday,09:30 - 10:30,VLSI Design,JN-106,TY,ECEAIML-SECB,f
336,poojagundewar,Thursday,09:30 - 10:30,Mechatronics,JN-107,TY,ECEAIML-SECB,f
337,vinodkumarjadhav,Thursday,09:30 - 10:30,Digital Communication,KS-407,TY,ECEAIML-SECB,f
338,priyamvadamahajani,Thursday,10:45 - 11:45,Optimization Techniques,JN-107,TY,ECEAIML-SECB,f
339,alkabarhatte,Thursday,11:45 - 12:45,Artificial Intelligence & ML,JN-107,TY,ECEAIML-SECB,f
340,sneharanade,Thursday,13:30 - 14:30,Managing Conflicts Peacefully,JN-107,TY,ECEAIML-SECB,f
341,sneharanade,Thursday,14:30 - 15:30,Managing Conflicts Peacefully,JN-107,TY,ECEAIML-SECB,f
342,prajaktapardeshi,Thursday,15:30 - 17:30,Database Mangement System-G1,JN-306A,TY,ECEAIML-SECB,f
343,mrunalannadate,Friday,08:30 - 10:30,Project Based Learning - III - G3,VK-411C,TY,ECEAIML-SECB,f
344,alkabarhatte,Friday,10:45 - 12:45,Artificial Intelligence & ML-G3,VK-411C,TY,ECEAIML-SECB,f
345,priyamvadamahajani,Friday,10:45 - 12:45,Optimization Techniques-G1,JN-306B,TY,ECEAIML-SECB,f
346,prajaktapardeshi,Friday,10:45 - 12:45,Database Mangement System-G2,JN-306A,TY,ECEAIML-SECB,f
347,alkabarhatte,Friday,13:30 - 15:30,Artificial Intelligence & ML-G2,VK-411C,TY,ECEAIML-SECB,f
